mul_name,structure,application,ME,gate_counts,accuracy,power,area,delay
mul8_59,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_0,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_2,tree_3,tree_2,tree_1,tree_3",resnet18_cifar10,-3.237614517275335,264,0.1013000011444091,164.89999999999998,206.856003,0.65014
mul8_60,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_0,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,tree_1,tree_2,tree_1,tree_3",resnet18_cifar10,-1.1961233371978803,271,0.867900013923645,160.1,210.132004,0.65731
mul8_61,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,tree_1,tree_3,tree_1,tree_11",resnet18_cifar10,-0.3689145919258189,285,0.9233999848365784,168.8,226.980004,0.65335
mul8_62,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_3,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_7,tree_1,tree_3,tree_1,tree_10",resnet18_cifar10,-2.830692428092753,262,0.6953999996185303,154.0,204.204004,0.61501
mul8_63,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_3,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_4,tree_1,tree_3,tree_1,tree_10",resnet18_cifar10,-2.548611482022789,263,0.7135000228881836,154.4,204.360004,0.61501
mul8_64,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_0,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_2,tree_2,tree_2,tree_1,tree_2",resnet18_cifar10,-3.237631626158772,260,0.1013000011444091,156.79999999999998,203.112004,0.60972
mul8_65,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_3,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_2,tree_1,tree_2,tree_1,tree_10",resnet18_cifar10,-2.19237485867361,263,0.7378000020980835,158.70000000000002,205.452004,0.61464
mul8_66,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,tree_1,tree_3,tree_5,tree_1",resnet18_cifar10,-0.1029709980651905,295,0.9254999756813048,171.4,233.688004,0.67212
mul8_67,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_1,mul2_0,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_7,tree_1,tree_2,tree_1,tree_10",resnet18_cifar10,-3.076967760399377,259,0.5296000242233276,154.6,203.736004,0.60772
mul8_68,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,tree_5,tree_0,tree_0,tree_0",resnet18_cifar10,-1.7108883436864813e-05,314,0.9258000254631042,183.9,244.764004,0.74822
mul8_69,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,tree_1,tree_2,tree_1,tree_11",resnet18_cifar10,-0.1655750365306157,289,0.9253000020980836,172.6,232.908004,0.6664
mul8_70,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,tree_1,tree_0,tree_1,tree_0",resnet18_cifar10,-0.0271150711889218,305,0.9262999892234802,172.5,236.808004,0.70365
mul8_71,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,tree_1,tree_3,tree_1,tree_10",resnet18_cifar10,-0.9930695094307836,273,0.916800022125244,165.3,212.784004,0.63521
mul8_72,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,tree_1,tree_3,tree_1,tree_11",resnet18_cifar10,-0.1655750365306157,291,0.9254999756813048,170.3,232.908004,0.64892
mul8_73,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_2,tree_1,tree_2,tree_1,tree_2",resnet18_cifar10,-1.7298051144751183,267,0.8597000241279602,160.39999999999998,207.168004,0.62788
mul8_74,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,tree_1,tree_2,tree_5,tree_1",resnet18_cifar10,-0.1029709980651905,293,0.9257000088691713,171.6,234.156004,0.67274
mul8_75,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,tree_1,tree_1,tree_5,tree_1",resnet18_cifar10,-0.0657530055488994,299,0.9253000020980836,172.5,235.092004,0.66764
